address,isHostedBySuperhost,name,numberOfGuests,pricing/rate/amountFormatted,primaryHost/badges/0,primaryHost/badges/1,primaryHost/firstName,primaryHost/memberSince,primaryHost/responseRate,primaryHost/smartName,roomType,url
"Karachi, Sindh, Pakistan",No,1 Bed Furnished Dha Phase 6 Karachi,1.0,$21,0 Reviews,Identity not verified,Umar,Joined in March 2020,1.0,Umar,Private room,https://www.airbnb.com/rooms/42770982
"Lahore, Punjab, Pakistan",No,1 Bed Luxury Apartment Roadside,3.0,$37,0 Reviews,Identity not verified,Muhammad,Joined in April 2019,0.33,Muhammad,Entire place,https://www.airbnb.com/rooms/49846349
"Islamabad, Islamabad Capital Territory, Pakistan",No,1 bed luxury appartment,3.0,$57,0 Reviews,Identity verified,Subtain,Joined in December 2020,0.0,Subtain,Private room,https://www.airbnb.com/rooms/46804132
"Islamabad, Islamabad Capital Territory, Pakistan",No,1 bed mountain View,3.0,$21,37 Reviews,Identity verified,Owais ahmad,Joined in December 2020,0.6,Owais Ahmad,Entire place,https://www.airbnb.com/rooms/48346573
"Lahore, Punjab, Pakistan",No,1 Bed New Studio Apartment near Shaukat Khanum,2.0,$17,171 Reviews,Identity verified,Saqib,Joined in August 2015,1.0,Saqib,Entire place,https://www.airbnb.com/rooms/44354153
"Karachi, Sindh, Pakistan",No,1 Bed Room in Clifton nearby beach and malls,2.0,$51,0 Reviews,Identity verified,Maisam,Joined in February 2019,0.0,Maisam,Private room,https://www.airbnb.com/rooms/35500368
"Islamabad, Islamabad Capital Territory, Pakistan",No,1 bed room luxury apartment,2.0,$57,0 Reviews,Identity verified,Bilal,Joined in April 2021,0.0,Bilal,Entire place,https://www.airbnb.com/rooms/50928239
"Lahore, Punjab, Pakistan",No,1 bed room studio apartment with free parking,4.0,$26,0 Reviews,Identity verified,Sherz,Joined in April 2021,0.0,Sherz,Entire place,https://www.airbnb.com/rooms/51466548
"Lahore, Punjab, Pakistan",No,1 Bedroom air conditioned comfy & relaxing,2.0,$25,3 Reviews,Identity verified,Timna,Joined in January 2021,0.0,Timna,Private room,https://www.airbnb.com/rooms/47794007
"Lahore, Punjab, Pakistan",No,1 Bedroom Apartment Designer Furnished DIAMOUNT-02,2.0,$49,61 Reviews,Identity verified,Babar,Joined in December 2019,0.81,Babar,Entire place,https://www.airbnb.com/rooms/52160313
"Lahore, Punjab, Pakistan",No,1 Bedroom Apartment Designer Furnished DIAMOUNT-03,2.0,$49,61 Reviews,Identity verified,Babar,Joined in December 2019,0.81,Babar,Entire place,https://www.airbnb.com/rooms/52160537
"Lahore, Punjab, Pakistan",No,1 Bedroom Apartment Designer Furnished DIAMOUNT-09,2.0,$49,61 Reviews,Identity verified,Babar,Joined in December 2019,0.81,Babar,Entire place,https://www.airbnb.com/rooms/52166764
"Lahore, Punjab, Pakistan",No,1 Bedroom Apartment Designer Furnished DIAMOUNT-10,2.0,$49,61 Reviews,Identity verified,Babar,Joined in December 2019,0.81,Babar,Entire place,https://www.airbnb.com/rooms/52166894
"Karachi, Sindh, Pakistan",No,1 bedroom Apartment with free parking.,2.0,$29,0 Reviews,Identity verified,Rehan,Joined in November 2021,0.0,Rehan,Private room,https://www.airbnb.com/rooms/53169801
"Lahore, Punjab, Pakistan",No,"1 Bedroom Apartment, Bahria Town Lahore DIAMOUNT01",2.0,$49,61 Reviews,Identity verified,Babar,Joined in December 2019,0.81,Babar,Entire place,https://www.airbnb.com/rooms/52159407
"Lahore, Punjab, Pakistan",No,"1 Bedroom in Cantt, near airport. Safe location.",3.0,$23,0 Reviews,Identity not verified,Nofil,Joined in September 2019,0.0,Nofil,Private room,https://www.airbnb.com/rooms/38521340
"Karachi, Sindh, Pakistan",No,1 BEDROOM LUXE SUITE W/ KITCHEN / LOUNGE / DINING,2.0,$56,38 Reviews,Identity verified,Amir,Joined in June 2016,0.97,Amir,Entire place,https://www.airbnb.com/rooms/41829840
"Lahore, Punjab, Pakistan",No,"1 Bedroom near Lums, in a family home.",2.0,$19,4 Reviews,Identity verified,Rbea,Joined in March 2020,0.9,Rbea,Private room,https://www.airbnb.com/rooms/42822081
"Lahore, Punjab, Pakistan",No,1 Bedroom neat Home with all basic facilities,3.0,$26,1 Review,Identity verified,Sajawal,Joined in August 2017,0.0,Sajawal,Private room,https://www.airbnb.com/rooms/52316629
"Karachi, Sindh, Pakistan",No,1 bedroom unit with bathroom,4.0,$34,0 Reviews,Identity not verified,Kamran,Joined in March 2018,0.0,Kamran,Private room,https://www.airbnb.com/rooms/53879760
"Lahore, Punjab, Pakistan",No,"1 Bedroom With LOunge, Lavish Apartment",4.0,$37,0 Reviews,Identity verified,Asif,Joined in December 2020,0.89,Asif,Entire place,https://www.airbnb.com/rooms/46851624
"Rawalpindi, Punjab, Pakistan",No,"1 Bedroom, 850 square feet Luxury Apartment.",2.0,$56,3 Reviews,Identity verified,Abid,Joined in November 2021,0.0,Abid,Entire place,https://www.airbnb.com/rooms/53306191
"Lahore, Punjab, Pakistan",No,1 comfortable bedroom available.,2.0,$40,1 Review,Identity verified,Iqra,Joined in March 2021,0.5,Iqra,Private room,https://www.airbnb.com/rooms/49810349
"Lahore, Punjab, Pakistan",Yes,1 Private Bed  100% Secured  Couples Allowed,2.0,$11,28 Reviews,Identity verified,Razia,Joined in January 2022,1.0,Razia,Private room,https://www.airbnb.com/rooms/54224294
"Karachi, Sindh, Pakistan",No,1 private room available with dedicated workspace and wifi,2.0,$30,1 Review,Identity verified,Haider ali,Joined in September 2020,0.0,Haider Ali,Private room,https://www.airbnb.com/rooms/51084576
"Lahore, Punjab, Pakistan",No,1 private room for family with wifi,2.0,$18,7 Reviews,Identity not verified,Afzal,Joined in January 2020,0.0,Afzal,Private room,https://www.airbnb.com/rooms/41278977
"Karachi, Sindh, Pakistan",No,1 Private Room with all utilities.,1.0,$29,0 Reviews,Identity not verified,Rauf,Joined in September 2018,0.0,Rauf,Private room,https://www.airbnb.com/rooms/50510143
"Lahore, Punjab, Pakistan",No,1-Bed Casa,2.0,$46,0 Reviews,Identity verified,Omer,Joined in February 2021,0.0,Omer,Private room,https://www.airbnb.com/rooms/52959754
"Islamabad, Islamabad Capital Territory, Pakistan",No,1-Bed stylish apartment in bahria heights.,3.0,$37,273 Reviews,Identity verified,Ahmed,Joined in September 2017,1.0,Ahmed,Entire place,https://www.airbnb.com/rooms/48499530
"Karachi, Sindh, Pakistan",No,1-bedroom flat on Ground Floor with Free parking,2.0,$51,0 Reviews,Identity verified,Hazim,Joined in November 2019,0.0,Hazim,Entire place,https://www.airbnb.com/rooms/53073604
"Lahore, Punjab, Pakistan",No,1-Bedroom Private room with air conditioning.,2.0,$22,15 Reviews,Identity verified,Mateen,Joined in May 2019,1.0,Mateen,Private room,https://www.airbnb.com/rooms/51185575
"Karachi, Sindh, Pakistan",No,1-bedroom with attach bath.24/7 Fresh Water Supply,2.0,$11,0 Reviews,Identity verified,Syed sajjad,Joined in December 2021,0.91,Syed Sajjad,Private room,https://www.airbnb.com/rooms/53669621
"Lahore, Punjab, Pakistan",No,"1-Bedroom with Attached Bath, Kitchen, Free And Safe Parking",2.0,$21,0 Reviews,Identity verified,Bakir,Joined in December 2019,0.0,Bakir,Private room,https://www.airbnb.com/rooms/51490579
"Karachi, Sindh, Pakistan",No,10 mint drive through airport,4.0,$29,0 Reviews,Identity verified,Fabiha,Joined in April 2021,0.0,Fabiha,Private room,https://www.airbnb.com/rooms/49383618
"Lahore, Punjab, Pakistan",Yes,101-Lovely 1 Bedroom Apartment with Hot Shower,3.0,$40,36 Reviews,Identity verified,Kamran,Joined in January 2019,1.0,Kamran,Entire place,https://www.airbnb.com/rooms/52376560
"Rawalpindi, Punjab, Pakistan",Yes,"102 Contemporary Opal Private Room, at Bahria Town",2.0,$26,70 Reviews,Identity verified,Imran,Joined in May 2019,1.0,Imran,Private room,https://www.airbnb.com/rooms/51232806
"Lahore, Punjab, Pakistan",No,10th Avenue (Family Room),2.0,$40,0 Reviews,Identity not verified,Azfand,Joined in September 2018,0.0,Azfand,Private room,https://www.airbnb.com/rooms/42217616
"Lahore, Punjab, Pakistan",No,12th Avenue,16.0,$40,2 Reviews,Identity verified,12th avenue,Joined in February 2020,1.0,12th Avenue,Private room,https://www.airbnb.com/rooms/43453136
"Lahore, Punjab, Pakistan",No,15 Minutes Away from DHA Lahore & Lahore Airport,2.0,$57,0 Reviews,Identity not verified,Farrukh,Joined in January 2016,0.0,Farrukh,Private room,https://www.airbnb.com/rooms/34250741
"Rawalpindi, Punjab, Pakistan",No,"1B Executive Ap. W/ Free WiFi, Netflix & Smart TV",2.0,$51,41 Reviews,Identity verified,Hussain,Joined in May 2018,1.0,Hussain,Entire place,https://www.airbnb.com/rooms/40406650
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,1BHK Cozy Compact Private Apartment,3.0,$35,357 Reviews,Identity verified,Waleed,Joined in October 2018,1.0,Waleed,Entire place,https://www.airbnb.com/rooms/50545870
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,1BHK Luxury Flat Elysium Towers,3.0,$75,50 Reviews,Identity verified,Raja,Joined in January 2021,1.0,Raja,Entire place,https://www.airbnb.com/rooms/776625474730369300
"Rawalpindi, Punjab, Pakistan",No,2 Bed apartment Fully furnished,4.0,$74,0 Reviews,Identity not verified,Waqas,Joined in October 2020,0.0,Waqas,Entire place,https://www.airbnb.com/rooms/45921278
"Karachi, Sindh, Pakistan",No,2 Bed Apartment! I live all alone,3.0,$57,0 Reviews,Identity verified,Junaid,Joined in December 2020,0.0,Junaid,Private room,https://www.airbnb.com/rooms/46946591
"Lahore, Punjab, Pakistan",No,2 Bed Condo,4.0,$34,8 Reviews,Identity verified,Mukarram,Joined in January 2021,1.0,Mukarram,Entire place,https://www.airbnb.com/rooms/54143551
"Rawalpindi, Punjab, Pakistan",No,2 bed flat available for rent bahria town phase 4,4.0,$63,0 Reviews,Identity verified,Muhammad,Joined in February 2022,0.0,Muhammad,Private room,https://www.airbnb.com/rooms/590916741928809000
"Islamabad, Islamabad Capital Territory, Pakistan",No,2 bed furnished portion on daily basis E.11,4.0,$68,1 Review,Identity verified,Absar,Joined in January 2021,0.0,Absar,Entire place,https://www.airbnb.com/rooms/47879899
"Islamabad, Islamabad Capital Territory, Pakistan",No,2 bed lavish apartment in heart of the city,4.0,$57,2 Reviews,Identity verified,Alee,Joined in June 2018,0.75,Alee,Entire place,https://www.airbnb.com/rooms/45730665
"Lahore, Punjab, Pakistan",No,2 Bed New corner Apartment,4.0,$31,171 Reviews,Identity verified,Saqib,Joined in August 2015,1.0,Saqib,Entire place,https://www.airbnb.com/rooms/50666766
"Rawalpindi, Punjab, Pakistan",No,2 Bed room comfortable apartment for rent,4.0,$67,0 Reviews,Identity not verified,Asher,Joined in December 2018,0.0,Asher,Entire place,https://www.airbnb.com/rooms/40743624
"Karachi, Sindh, Pakistan",No,2 bed room flat near Dolmen mall seaview,4.0,$46,0 Reviews,Identity not verified,Mohammad,Joined in February 2018,0.0,Mohammad,Private room,https://www.airbnb.com/rooms/44183943
"Lahore, Punjab, Pakistan",No,2 Bedroom American Interior Suite in DHA,5.0,$23,46 Reviews,Identity verified,Sadya,Joined in May 2021,1.0,Sadya,Entire place,https://www.airbnb.com/rooms/50248410
"Islamabad, Islamabad Capital Territory, Pakistan",No,2 Bedroom Apartment,4.0,$76,0 Reviews,Identity verified,Capital suites,Joined in August 2021,0.0,Capital Suites,Private room,https://www.airbnb.com/rooms/51806353
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,2 Bedroom Apartment 1500Sft/ F-11 markaz,4.0,$74,30 Reviews,Identity verified,Bibi,Joined in August 2018,1.0,Bibi,Entire place,https://www.airbnb.com/rooms/52818698
"Lahore, Punjab, Pakistan",No,2 Bedroom Apartment Opposite DHA PHASE 8 Lahore,8.0,$51,0 Reviews,Identity verified,Samama,Joined in December 2019,0.0,Samama,Entire place,https://www.airbnb.com/rooms/48605921
"Islamabad, Islamabad Capital Territory, Pakistan",No,2 bedroom apartment penthouse with view.,4.0,$68,0 Reviews,Identity verified,Muhammad,Joined in December 2021,0.0,Muhammad,Entire place,https://www.airbnb.com/rooms/54116177
"Islamabad, Islamabad Capital Territory, Pakistan",No,2 Bedroom Apartment with Parking,4.0,$76,0 Reviews,Identity verified,Capital suites,Joined in August 2021,0.0,Capital Suites,Private room,https://www.airbnb.com/rooms/52726059
"Lahore, Punjab, Pakistan",No,2 Bedroom Private Apartment opposite DHA Phase 8.,6.0,$35,112 Reviews,Identity verified,Khuzaima,Joined in March 2019,1.0,Khuzaima,Entire place,https://www.airbnb.com/rooms/45499795
"Islamabad, Islamabad Capital Territory, Pakistan",No,2 bedroom with parking,4.0,$67,0 Reviews,Identity verified,Capital suites,Joined in August 2021,0.0,Capital Suites,Private room,https://www.airbnb.com/rooms/53072123
"Karachi, Sindh, Pakistan",No,2 BEDROOMS LUXE SUITE W/ KITCHEN / LOUNGE / DINING,4.0,$92,38 Reviews,Identity verified,Amir,Joined in June 2016,0.97,Amir,Entire place,https://www.airbnb.com/rooms/41830418
"Lahore, Punjab, Pakistan",No,"2 bedrooms.
1 kitchen
1 shared hall room.",5.0,$32,0 Reviews,Identity not verified,Ammad hassan,Joined in October 2020,0.0,Ammad Hassan,Entire place,https://www.airbnb.com/rooms/46078326
"Lahore, Punjab, Pakistan",No,2 BHK Private Condominium Separate Entrance,6.0,$46,633 Reviews,Identity verified,Arslan,Joined in December 2013,1.0,Arslan,Entire place,https://www.airbnb.com/rooms/54389955
"Lahore, Punjab, Pakistan",No,2-bedroom - Separate Portion/Apartment,4.0,$51,0 Reviews,Identity verified,Imran,Joined in May 2021,0.0,Imran,Private room,https://www.airbnb.com/rooms/49981198
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,2-Bedrooms furnished apartment at amazing rate!,5.0,$51,90 Reviews,Identity verified,Maaz,Joined in November 2017,1.0,Maaz,Entire place,https://www.airbnb.com/rooms/46929450
"Lahore, Punjab, Pakistan",No,2.5 kanal facing golf course banglow,2.0,$48,8 Reviews,Identity verified,Muzana,Joined in October 2017,0.9,Muzana,Private room,https://www.airbnb.com/rooms/52122259
"Rawalpindi, Punjab, Pakistan",Yes,"2BD 1kanal upper portion,big space,artistic,ups.",6.0,$67,162 Reviews,Identity verified,Ayesha,Joined in May 2021,1.0,Ayesha,Entire place,https://www.airbnb.com/rooms/49680244
"Islamabad, Islamabad Capital Territory, Pakistan",No,2Bed Room apartment  Newly Furnished,4.0,$32,16 Reviews,Identity verified,Tahmas,Joined in September 2018,1.0,Tahmas,Entire place,https://www.airbnb.com/rooms/42561838
"Rawalpindi, Punjab, Pakistan",No,2Bedroom full furnished apartment available fr rnt,2.0,$68,0 Reviews,Identity not verified,Sanwal,Joined in July 2020,0.0,Sanwal,Private room,https://www.airbnb.com/rooms/52000985
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,2BHK Corner Cottage | Netflix | Amazon  |SMART TV|,6.0,$35,208 Reviews,Identity verified,Azeem,Joined in June 2018,1.0,Azeem,Entire place,https://www.airbnb.com/rooms/51699563
"Lahore, Punjab, Pakistan",Yes,2BR Modern & Luxury New Furnished House,6.0,$42,62 Reviews,Identity verified,Imran,Joined in October 2015,1.0,Imran,Entire place,https://www.airbnb.com/rooms/43562607
"Lahore, Punjab, Pakistan",No,3 Bed Brand New Apartment near Shaukat Khanum,6.0,$42,171 Reviews,Identity verified,Saqib,Joined in August 2015,1.0,Saqib,Entire place,https://www.airbnb.com/rooms/50656901
"Islamabad, Islamabad Capital Territory, Pakistan",No,3 Bed Furnished Capital Residencia,6.0,$75,4 Reviews,Identity not verified,Shabbir,Joined in September 2020,0.0,Shabbir,Entire place,https://www.airbnb.com/rooms/45392251
"Islamabad, Islamabad Capital Territory, Pakistan",No,"3 Bed luxury apartment in heart of E-11, Islamabad",13.0,$84,3 Reviews,Identity verified,Shams,Joined in August 2019,1.0,Shams,Entire place,https://www.airbnb.com/rooms/53470090
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,3 BEDROOM FAMILY ACCOMMODATION - YOUR 2ND HOME,6.0,$68,21 Reviews,Identity verified,Mahnoor,Joined in January 2021,1.0,Mahnoor,Entire place,https://www.airbnb.com/rooms/48041705
"Karachi, Sindh, Pakistan",No,3 Bedroom Furnished Apartment with Home theater.,8.0,$91,0 Reviews,Identity not verified,Jawaid,Joined in December 2018,0.0,Jawaid,Entire place,https://www.airbnb.com/rooms/39581752
"Karachi, Sindh, Pakistan",No,3 Bedroom Furnished Portion for 10 to 15 persons,10.0,$40,0 Reviews,Identity verified,Abdul,Joined in November 2019,1.0,Abdul,Entire place,https://www.airbnb.com/rooms/42126174
"Lahore, Punjab, Pakistan",Yes,"3 Bedroom Home in DHA, Near Packages Mall.",10.0,$54,79 Reviews,Identity verified,Shams,Joined in December 2019,1.0,Shams,Entire place,https://www.airbnb.com/rooms/41072338
"Rawalpindi, Punjab, Pakistan",No,3 bedroom perfect stay for a perfect family.,4.0,$68,0 Reviews,Identity not verified,Hamza,Joined in December 2021,0.0,Hamza,Private room,https://www.airbnb.com/rooms/54078523
"Islamabad, Islamabad Capital Territory, Pakistan",No,3 bedroom unit with beautiful view & free parking.,7.0,$76,0 Reviews,Identity verified,Ehsan,Joined in May 2021,0.0,Ehsan,Entire place,https://www.airbnb.com/rooms/52253535
"Karachi, Sindh, Pakistan",No,3 Bedrooms + DD - Bungalow Portion (500 Yards),15.0,$84,2 Reviews,Identity verified,Adeeba,Joined in September 2021,0.75,Adeeba,Entire place,https://www.airbnb.com/rooms/52298453
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,3 BHK Brand New Entire Portion Fast Wifi and UHDTV,11.0,$39,59 Reviews,Identity verified,Usman,Joined in June 2019,1.0,Usman,Entire place,https://www.airbnb.com/rooms/53922290
"Islamabad, Islamabad Capital Territory, Pakistan",Yes,3 BHK Entire Portion Fast Wifi UHDTV for Family,8.0,$43,59 Reviews,Identity verified,Usman,Joined in June 2019,1.0,Usman,Entire place,https://www.airbnb.com/rooms/53652091
"Karachi, Sindh, Pakistan",No,3Bedroom Entire luxury apartment in heart of DHA,6.0,$72,186 Reviews,Identity verified,Muhammad feroz,Joined in June 2021,0.96,Muhammad Feroz,Entire place,https://www.airbnb.com/rooms/50547321
"Karachi, Sindh, Pakistan",No,3Bedrooms IKEA Design luxury Apartment  DHA,6.0,$91,186 Reviews,Identity verified,Muhammad feroz,Joined in June 2021,0.96,Muhammad Feroz,Entire place,https://www.airbnb.com/rooms/50688059
"Lahore, Punjab, Pakistan",No,4 Bedrooms Home with Parking near Emporium Mall,8.0,$57,105 Reviews,Identity verified,Syed muhammad shabi,Joined in March 2019,1.0,Syed Muhammad Shabi,Entire place,https://www.airbnb.com/rooms/53790637
"Rawalpindi, Punjab, Pakistan",No,40% off on 1 month stay Bahria town 3 bed Gr condo,6.0,$72,7 Reviews,Identity verified,Shahid,Joined in September 2017,1.0,Shahid,Entire place,https://www.airbnb.com/rooms/43013486
"Lahore, Punjab, Pakistan",Yes,403-Apartment Tailored To Your Highest Standards,3.0,$33,36 Reviews,Identity verified,Kamran,Joined in January 2019,1.0,Kamran,Entire place,https://www.airbnb.com/rooms/646172807962173600
"Rawalpindi, Punjab, Pakistan",No,7 Star vip furnished House in bahria town,5.0,$60,2 Reviews,Identity verified,Aamir,Joined in January 2020,0.0,Aamir,Entire place,https://www.airbnb.com/rooms/44188492
"Rawalpindi, Punjab, Pakistan",No,8 star luxury furnished house bahria town phase  8,5.0,$79,2 Reviews,Identity verified,Aamir,Joined in January 2020,0.0,Aamir,Entire place,https://www.airbnb.com/rooms/44601784
"Lahore, Punjab, Pakistan",No,A & A Girls Hostel,10.0,$14,0 Reviews,Identity not verified,Waqar,Joined in June 2019,0.0,Waqar,Private room,https://www.airbnb.com/rooms/35645201
"Lahore, Punjab, Pakistan",No,A bedroom (1 double bed ) with  attached washroom,2.0,$32,0 Reviews,Identity not verified,Farwa,Joined in December 2021,0.0,Farwa,Private room,https://www.airbnb.com/rooms/53669997
"Lahore, Punjab, Pakistan",No,A big house with peaceful and friendly environment,2.0,$34,0 Reviews,Identity not verified,Mati,Joined in March 2020,0.0,Mati,Shared room,https://www.airbnb.com/rooms/43012330
"Karachi, Sindh, Pakistan",No,A big size room for 3 near airport in Jauhar,3.0,$28,0 Reviews,Identity not verified,Ismail,Joined in July 2018,0.0,Ismail,Private room,https://www.airbnb.com/rooms/27316606
"Islamabad, Islamabad Capital Territory, Pakistan",No,"A Cheerful home of 50 residential rooms with attached bathrooms.
Privacy and Ease at its peak.",2.0,$68,0 Reviews,Identity verified,Aamir,Joined in January 2019,0.0,Aamir,Private room,https://www.airbnb.com/rooms/52564339
"Karachi, Sindh, Pakistan",No,A comfy place for travellers.,2.0,$23,1 Review,Identity not verified,Hassan,Joined in June 2019,0.0,Hassan,Shared room,https://www.airbnb.com/rooms/35300179
"Lahore, Punjab, Pakistan",No,A complete portion will all amenities in DHA,2.0,$40,0 Reviews,Identity not verified,Mustafa,Joined in October 2020,0.0,Mustafa,Private room,https://www.airbnb.com/rooms/45909752
"Karachi, Sindh, Pakistan",No,A cosy place for comfort,1.0,$34,0 Reviews,Identity not verified,Roohi,Joined in August 2017,0.0,Roohi,Private room,https://www.airbnb.com/rooms/52520686
"Karachi, Sindh, Pakistan",No,A cozy bedroom for two in Gulshan-e-Iqbal,2.0,$47,11 Reviews,Identity verified,Parveen,Joined in October 2018,1.0,Parveen,Private room,https://www.airbnb.com/rooms/32912884
"Karachi, Sindh, Pakistan",No,A fully family oriented location,6.0,$46,0 Reviews,Identity not verified,Noel,Joined in November 2018,0.0,Noel,Entire place,https://www.airbnb.com/rooms/43420765
"Karachi, Sindh, Pakistan",No,A fun-loving host for your trip to Karachi,1.0,$34,0 Reviews,Identity not verified,Kashif,Joined in January 2016,1.0,Kashif,Shared room,https://www.airbnb.com/rooms/31438179
"Rawalpindi, Punjab, Pakistan",Yes,A Hidden Gem 1-Bedroom Apartment In Bahria Town.,4.0,$59,119 Reviews,Identity verified,Ali,Joined in June 2019,1.0,Ali,Entire place,https://www.airbnb.com/rooms/41861408
"Lahore, Punjab, Pakistan",No,A Little and Safe White House,2.0,$57,0 Reviews,Identity not verified,Haroon,Joined in September 2019,0.0,Haroon,Private room,https://www.airbnb.com/rooms/38587027
"Islamabad, Islamabad Capital Territory, Pakistan",No,A Luxury Room in the Woods  G11 Islamabad,2.0,$14,66 Reviews,Identity verified,Afraz,Joined in December 2020,0.92,Afraz,Private room,https://www.airbnb.com/rooms/47711016
"Rawalpindi, Punjab, Pakistan",Yes,A Modern & Homely One-bed Apartment In Bahria Town,2.0,$48,140 Reviews,Identity verified,Bilal,Joined in September 2019,1.0,Bilal,Entire place,https://www.airbnb.com/rooms/42261141
"Lahore, Punjab, Pakistan",No,A most luxury apartment in front of eiffel tower.,3.0,$43,15 Reviews,Identity verified,Asif,Joined in October 2019,0.5,Asif,Entire place,https://www.airbnb.com/rooms/39748412
"Islamabad, Islamabad Capital Territory, Pakistan",No,A neat clean and with beautiful view.,3.0,$63,0 Reviews,Identity not verified,Nasir,Joined in March 2019,0.0,Nasir,Entire place,https://www.airbnb.com/rooms/33337167
"Lahore, Punjab, Pakistan",No,A place to relax with privacy and security,1.0,$26,0 Reviews,Identity verified,Nasir,Joined in April 2021,0.0,Nasir,Private room,https://www.airbnb.com/rooms/49467228
"Lahore, Punjab, Pakistan",No,a room with attached washroom master size mattres,2.0,$11,0 Reviews,Identity verified,Shan,Joined in December 2021,0.0,Shan,Private room,https://www.airbnb.com/rooms/53815395
"Islamabad, Islamabad Capital Territory, Pakistan",No,A separate and secure Apartment,4.0,$68,0 Reviews,Identity verified,Liaqat,Joined in September 2020,1.0,Liaqat,Entire place,https://www.airbnb.com/rooms/48832170
"Lahore, Punjab, Pakistan",No,A shared place to live with comfort,2.0,$34,0 Reviews,Identity verified,Arslan,Joined in January 2020,0.0,Arslan,Entire place,https://www.airbnb.com/rooms/52471916
